date_month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1970-12-01,1.98,4.0,1.0,0.0,0.0
1971-01-01,6.21,10.0,5.0,1.0,0.0
1971-02-01,3.06,5.0,2.0,1.0,0.0
1971-03-01,2.16,9.0,0.0,0.0,0.0
1971-04-01,3.18,7.0,3.0,1.0,0.0
1971-05-01,8.72,12.0,6.0,2.0,0.0
1971-06-01,7.6,11.0,4.0,3.0,0.0
1971-07-01,3.0300000000000002,6.0,3.0,0.0,0.0
1971-08-01,6.890000000000001,8.0,4.0,2.0,0.0
1971-09-01,0.77,3.0,0.0,0.0,0.0
1971-10-01,1.31,3.0,1.0,0.0,0.0
1971-11-01,5.71,12.0,3.0,1.0,0.0
1971-12-01,0.38,2.0,0.0,0.0,0.0
1972-01-01,9.370000000000001,13.0,8.0,2.0,0.0
1972-02-01,7.37,12.0,5.0,3.0,0.0
1972-03-01,3.56,7.0,2.0,1.0,0.0
1972-04-01,4.4399999999999995,11.0,5.0,0.0,0.0
1972-05-01,5.1899999999999995,13.0,3.0,0.0,0.0
1972-06-01,2.52,6.0,1.0,0.0,0.0
1972-07-01,18.48,11.0,9.0,8.0,0.0
1972-08-01,7.2,8.0,5.0,2.0,0.0
1972-09-01,3.54,6.0,4.0,0.0,0.0
1972-10-01,1.65,4.0,2.0,0.0,0.0
1972-11-01,8.24,10.0,7.0,4.0,0.0
1972-12-01,2.23,5.0,2.0,0.0,0.0
1973-01-01,1.42,6.0,1.0,0.0,0.0
1973-02-01,3.71,7.0,3.0,1.0,0.0
1973-03-01,0.27,1.0,0.0,0.0,0.0
1973-04-01,4.0200000000000005,9.0,3.0,1.0,0.0
1973-05-01,7.5,12.0,6.0,3.0,0.0
1973-06-01,5.67,1.0,1.0,1.0,0.0
1973-07-01,2.95,4.0,2.0,1.0,0.0
1973-08-01,2.8899999999999997,6.0,1.0,1.0,0.0
1973-09-01,6.57,8.0,4.0,4.0,0.0
1973-10-01,3.41,6.0,4.0,1.0,0.0
1973-11-01,4.45,9.0,3.0,1.0,0.0
1973-12-01,3.7,9.0,3.0,0.0,0.0
1974-01-01,5.18,6.0,4.0,1.0,0.0
1974-02-01,3.16,8.0,2.0,0.0,0.0
1974-03-01,5.4799999999999995,10.0,5.0,1.0,0.0
1974-04-01,3.5,5.0,3.0,1.0,0.0
1974-05-01,4.96,12.0,4.0,1.0,0.0
1974-06-01,5.74,9.0,3.0,2.0,0.0
1974-07-01,2.38,8.0,1.0,0.0,0.0
1974-08-01,2.7199999999999998,7.0,1.0,0.0,0.0
1974-09-01,8.370000000000001,14.0,6.0,3.0,0.0
1974-10-01,9.32,19.0,6.0,2.0,0.0
1974-11-01,6.07,12.0,2.0,1.0,0.0
1974-12-01,3.09,14.0,0.0,0.0,0.0
1975-01-01,6.7,15.0,6.0,0.0,0.0
1975-02-01,1.94,5.0,1.0,0.0,0.0
1975-03-01,6.58,18.0,4.0,0.0,0.0
1975-04-01,3.5,11.0,3.0,0.0,0.0
1975-05-01,7.95,9.0,5.0,3.0,0.0
1975-06-01,3.22,6.0,3.0,1.0,0.0
1975-07-01,7.2700000000000005,7.0,4.0,2.0,0.0
1975-08-01,3.54,8.0,2.0,1.0,0.0
1975-09-01,12.74,12.0,7.0,4.0,0.0
1975-10-01,1.55,6.0,0.0,0.0,0.0
1975-11-01,7.32,11.0,6.0,2.0,0.0
1975-12-01,0.99,3.0,1.0,0.0,0.0
1976-01-01,1.15,5.0,0.0,0.0,0.0
1976-02-01,3.06,7.0,1.0,1.0,0.0
1976-03-01,3.65,10.0,3.0,0.0,0.0
1976-04-01,1.7100000000000002,6.0,1.0,0.0,0.0
1976-05-01,0.99,4.0,0.0,0.0,0.0
1976-06-01,0.1,0.0,0.0,0.0,0.0
1976-07-01,4.5200000000000005,8.0,3.0,2.0,0.0
1976-08-01,0.7,2.0,0.0,0.0,0.0
1976-09-01,5.32,14.0,3.0,0.0,0.0
1976-10-01,3.9,14.0,2.0,0.0,0.0
1976-11-01,4.970000000000001,12.0,2.0,1.0,0.0
1976-12-01,7.01,10.0,5.0,2.0,0.0
1977-01-01,7.56,14.0,6.0,2.0,0.0
1977-02-01,8.32,14.0,9.0,1.0,0.0
1977-03-01,4.29,12.0,3.0,0.0,0.0
1977-04-01,5.5,7.0,2.0,2.0,0.0
1977-05-01,9.14,16.0,9.0,4.0,0.0
1977-06-01,6.21,12.0,4.0,1.0,0.0
1977-07-01,4.970000000000001,9.0,4.0,2.0,0.0
1977-08-01,4.21,6.0,3.0,1.0,0.0
1977-09-01,1.3199999999999998,5.0,1.0,0.0,0.0
1977-10-01,5.7,11.0,5.0,1.0,0.0
1977-11-01,6.81,12.0,6.0,2.0,0.0
1977-12-01,4.8100000000000005,10.0,4.0,0.0,0.0
1978-01-01,9.620000000000001,17.0,7.0,2.0,0.0
1978-02-01,6.8,15.0,6.0,0.0,0.0
1978-03-01,10.440000000000001,17.0,8.0,4.0,0.0
1978-04-01,6.0600000000000005,12.0,5.0,1.0,0.0
1978-05-01,5.13,8.0,4.0,1.0,0.0
1978-06-01,6.14,12.0,5.0,0.0,0.0
1978-07-01,5.35,10.0,4.0,2.0,0.0
1978-08-01,4.3,9.0,3.0,1.0,0.0
1978-09-01,4.55,8.0,1.0,1.0,0.0
1978-10-01,1.3599999999999999,3.0,1.0,0.0,0.0
1978-11-01,1.29,7.0,0.0,0.0,0.0
1978-12-01,11.190000000000001,19.0,8.0,2.0,0.0
1979-01-01,3.29,6.0,2.0,1.0,0.0
1979-02-01,7.090000000000001,13.0,8.0,1.0,0.0
1979-03-01,10.67,26.0,7.0,2.0,0.0
1979-04-01,5.45,13.0,4.0,1.0,0.0
1979-05-01,4.5600000000000005,13.0,2.0,0.0,0.0
1979-06-01,3.95,5.0,4.0,1.0,0.0
1979-07-01,1.1,4.0,0.0,0.0,0.0
1979-08-01,5.34,13.0,4.0,0.0,0.0
1979-09-01,2.15,5.0,1.0,0.0,0.0
1979-10-01,7.32,9.0,5.0,4.0,0.0
1979-11-01,5.970000000000001,13.0,3.0,2.0,0.0
1979-12-01,9.7,17.0,7.0,3.0,0.0
1980-01-01,3.35,9.0,2.0,0.0,0.0
1980-02-01,5.25,11.0,3.0,1.0,0.0
1980-03-01,9.0,16.0,5.0,3.0,0.0
1980-04-01,0.93,3.0,0.0,0.0,0.0
1980-05-01,4.1899999999999995,10.0,2.0,1.0,0.0
1980-06-01,6.790000000000001,14.0,5.0,1.0,0.0
1980-07-01,9.059999999999999,14.0,5.0,3.0,0.0
1980-08-01,2.23,6.0,0.0,0.0,0.0
1980-09-01,2.91,11.0,0.0,0.0,0.0
1980-10-01,5.21,13.0,2.0,1.0,0.0
1980-11-01,5.0200000000000005,7.0,3.0,2.0,0.0
1980-12-01,8.83,11.0,7.0,3.0,0.0
1981-01-01,5.970000000000001,13.0,4.0,1.0,0.0
1981-02-01,3.19,8.0,2.0,1.0,0.0
1981-03-01,5.96,18.0,3.0,0.0,0.0
1981-04-01,2.16,8.0,0.0,0.0,0.0
1981-05-01,9.959999999999999,20.0,9.0,2.0,0.0
1981-06-01,6.04,10.0,2.0,2.0,0.0
1981-07-01,5.09,11.0,4.0,1.0,0.0
1981-08-01,1.8800000000000001,5.0,1.0,0.0,0.0
1981-09-01,5.09,12.0,4.0,1.0,0.0
1981-10-01,15.330000000000002,21.0,7.0,3.0,0.0
1981-11-01,3.2399999999999998,7.0,3.0,1.0,0.0
1981-12-01,10.02,20.0,5.0,2.0,0.0
1982-01-01,6.51,15.0,4.0,3.0,0.0
1982-02-01,2.3,7.0,2.0,0.0,0.0
1982-03-01,4.5200000000000005,12.0,4.0,0.0,0.0
1982-04-01,0.97,4.0,0.0,0.0,0.0
1982-05-01,10.3,14.0,6.0,3.0,0.0
1982-06-01,8.26,14.0,5.0,3.0,0.0
1982-07-01,14.040000000000001,7.0,3.0,1.0,0.0
1982-08-01,1.9600000000000002,6.0,1.0,0.0,0.0
1982-09-01,5.84,9.0,5.0,1.0,0.0
1982-10-01,8.99,14.0,7.0,3.0,0.0
1982-11-01,6.34,9.0,3.0,1.0,0.0
1982-12-01,8.120000000000001,12.0,6.0,3.0,0.0
1983-01-01,4.2,9.0,3.0,1.0,0.0
1983-02-01,6.720000000000001,11.0,4.0,4.0,0.0
1983-03-01,4.34,12.0,4.0,0.0,0.0
1983-04-01,8.72,18.0,7.0,2.0,0.0
1983-05-01,7.220000000000001,18.0,5.0,0.0,0.0
1983-06-01,8.15,7.0,7.0,3.0,0.0
1983-07-01,7.94,11.0,4.0,3.0,0.0
1983-08-01,4.1899999999999995,4.0,3.0,1.0,0.0
1983-09-01,3.79,11.0,2.0,0.0,0.0
1983-10-01,2.02,6.0,1.0,0.0,0.0
1983-11-01,2.84,4.0,2.0,2.0,0.0
1983-12-01,3.9,9.0,2.0,1.0,0.0
1984-01-01,10.6,21.0,8.0,3.0,0.0
1984-02-01,2.87,11.0,0.0,0.0,0.0
1984-03-01,4.62,11.0,1.0,1.0,0.0
1984-04-01,2.32,3.0,2.0,1.0,0.0
1984-05-01,11.459999999999999,18.0,8.0,4.0,0.0
1984-06-01,3.6,5.0,3.0,1.0,0.0
1984-07-01,3.17,5.0,2.0,1.0,0.0
1984-08-01,3.96,6.0,4.0,1.0,0.0
1984-09-01,11.940000000000001,19.0,7.0,4.0,0.0
1984-10-01,9.2,10.0,6.0,3.0,0.0
1984-11-01,6.1899999999999995,13.0,5.0,1.0,0.0
1984-12-01,3.88,9.0,2.0,1.0,0.0
1985-01-01,3.47,11.0,0.0,0.0,0.0
1985-02-01,1.8199999999999998,3.0,1.0,1.0,0.0
1985-03-01,6.11,15.0,4.0,1.0,0.0
1985-04-01,6.57,13.0,4.0,3.0,0.0
1985-05-01,6.68,8.0,6.0,2.0,0.0
1985-06-01,3.8299999999999996,11.0,3.0,1.0,0.0
1985-07-01,7.859999999999999,10.0,6.0,2.0,0.0
1985-08-01,3.31,8.0,1.0,1.0,0.0
1985-09-01,3.41,4.0,3.0,1.0,0.0
1985-10-01,1.3,2.0,1.0,1.0,0.0
1985-11-01,4.779999999999999,13.0,2.0,1.0,0.0
1985-12-01,2.88,9.0,2.0,0.0,0.0
1986-01-01,9.15,18.0,7.0,3.0,0.0
1986-02-01,1.67,5.0,1.0,0.0,0.0
1986-03-01,7.220000000000001,16.0,5.0,2.0,0.0
1986-04-01,10.870000000000001,16.0,8.0,2.0,0.0
1986-05-01,3.09,9.0,1.0,0.0,0.0
1986-06-01,6.0,7.0,3.0,2.0,0.0
1986-07-01,1.75,3.0,1.0,1.0,0.0
1986-08-01,5.04,10.0,4.0,1.0,0.0
1986-09-01,5.83,6.0,4.0,2.0,0.0
1986-10-01,6.0200000000000005,12.0,4.0,1.0,0.0
1986-11-01,4.15,14.0,3.0,0.0,0.0
1986-12-01,8.1,19.0,5.0,2.0,0.0
1987-01-01,2.69,7.0,2.0,0.0,0.0
1987-02-01,4.65,15.0,2.0,1.0,0.0
1987-03-01,4.9799999999999995,13.0,4.0,0.0,0.0
1987-04-01,2.93,8.0,1.0,1.0,0.0
1987-05-01,6.74,12.0,7.0,1.0,0.0
1987-06-01,9.58,16.0,8.0,4.0,0.0
1987-07-01,8.290000000000001,10.0,7.0,4.0,0.0
1987-08-01,10.440000000000001,9.0,4.0,2.0,0.0
1987-09-01,3.6799999999999997,7.0,3.0,1.0,0.0
1987-10-01,10.07,15.0,7.0,3.0,0.0
1987-11-01,6.33,12.0,6.0,1.0,0.0
1987-12-01,3.7299999999999995,7.0,3.0,0.0,0.0
1988-01-01,10.2,21.0,7.0,2.0,0.0
1988-02-01,6.65,12.0,4.0,2.0,0.0
1988-03-01,8.55,18.0,8.0,1.0,0.0
1988-04-01,2.98,6.0,2.0,1.0,0.0
1988-05-01,8.809999999999999,17.0,7.0,3.0,0.0
1988-06-01,2.46,3.0,2.0,1.0,0.0
1988-07-01,11.01,13.0,7.0,2.0,0.0
1988-08-01,2.25,7.0,1.0,0.0,0.0
1988-09-01,3.7600000000000002,9.0,3.0,0.0,0.0
1988-10-01,6.4799999999999995,12.0,6.0,1.0,0.0
1988-11-01,4.4399999999999995,8.0,3.0,1.0,0.0
1988-12-01,6.470000000000001,4.0,2.0,1.0,0.0
1989-01-01,2.77,6.0,2.0,1.0,0.0
1989-02-01,5.0200000000000005,13.0,4.0,0.0,0.0
1989-03-01,9.83,13.0,6.0,1.0,0.0
1989-04-01,8.24,15.0,7.0,4.0,0.0
1989-05-01,1.1,3.0,1.0,0.0,0.0
1989-06-01,4.6899999999999995,8.0,5.0,0.0,0.0
1989-07-01,3.3899999999999997,9.0,2.0,0.0,0.0
1989-08-01,2.91,5.0,2.0,1.0,0.0
1989-09-01,4.4,7.0,3.0,3.0,0.0
1989-10-01,3.09,8.0,3.0,0.0,0.0
1989-11-01,3.37,9.0,4.0,0.0,0.0
1989-12-01,7.26,11.0,6.0,1.0,0.0
1990-01-01,4.279999999999999,9.0,4.0,1.0,0.0
1990-02-01,9.89,13.0,6.0,3.0,0.0
1990-03-01,1.2,3.0,1.0,0.0,0.0
1990-04-01,6.35,11.0,6.0,2.0,0.0
1990-05-01,0.72,3.0,0.0,0.0,0.0
1990-06-01,6.3100000000000005,13.0,4.0,1.0,0.0
1990-07-01,2.44,4.0,2.0,1.0,0.0
1990-08-01,0.8099999999999999,4.0,0.0,0.0,0.0
1990-09-01,5.08,6.0,5.0,2.0,0.0
1990-10-01,7.58,10.0,4.0,2.0,0.0
